採番,流域平均累加雨量,最大降雨強度（流域平均）,継続時間,台風直接時間,台風間接時間,前線時間,線状降水帯時間,開始,終了,SST,アンサンブル,開始時刻,終了時刻,開始年,開始月,開始日,開始時,終了年,終了月,終了日,終了時,気象場DSOM
1,101.94,7.86,83,48.5,34.5,18,0,12026,12191,HPB,1,1951-09-08 12:30:00,1951-09-11 23:00:00,1951,9,8,12,1951,9,12,0,8
2,33.39,3.69,32.5,0,0,0,0,28489,28553,HPB,1,1952-08-16 12:00:00,1952-08-17 20:00:00,1952,8,16,12,1952,8,17,18,2
3,39.64,4.14,20.5,0,0,6,0,48795,48835,HPB,1,1953-10-13 13:00:00,1953-10-14 09:00:00,1953,10,13,12,1953,10,14,12,9
4,45.085,2.34,85.5,0,23,36,0,63744,63914,HPB,1,1954-08-20 23:30:00,1954-08-24 12:30:00,1954,8,21,0,1954,8,24,12,2
5,49.405,3.4,59.5,0,0,12,0,64105,64223,HPB,1,1954-08-28 12:00:00,1954-08-30 23:00:00,1954,8,28,12,1954,8,31,0,2
6,35.71,5.5,22.5,0,0,12,0,83921,83965,HPB,1,1955-10-15 08:00:00,1955-10-16 06:00:00,1955,10,15,6,1955,10,16,6,13
7,21.47,1.89,58.5,0,0,18,0,101335,101451,HPB,1,1956-10-12 03:00:00,1956-10-14 13:00:00,1956,10,12,6,1956,10,14,12,13
8,67.35,4.47,53,0,0,12,0,101651,101756,HPB,1,1956-10-18 17:00:00,1956-10-20 21:30:00,1956,10,18,18,1956,10,21,0,13
9,33.255,5.27,17,0,0,0,0,118952,118985,HPB,1,1957-10-14 03:30:00,1957-10-14 20:00:00,1957,10,14,6,1957,10,14,18,8
10,38.55,1.13,150,22,67,0,0,119270,119569,HPB,1,1957-10-20 18:30:00,1957-10-27 00:00:00,1957,10,20,18,1957,10,27,0,8
11,41.78,5.04,39,25,14,18,0,135033,135110,HPB,1,1958-09-14 04:00:00,1958-09-15 18:30:00,1958,9,14,6,1958,9,15,18,12
12,29.705,4.45,38,0,0,0,0,150367,150442,HPB,1,1959-07-30 15:00:00,1959-08-01 04:30:00,1959,7,30,18,1959,8,1,6,8
13,31,1.34,64,0,0,0,0,168688,168815,HPB,1,1960-08-15 07:30:00,1960-08-17 23:00:00,1960,8,15,6,1960,8,18,0,2
14,42.88,3.73,35.5,0,0,18,0,188728,188798,HPB,1,1961-10-06 19:30:00,1961-10-08 06:30:00,1961,10,6,18,1961,10,8,6,8
15,58.535,2.88,71.5,0,0,0,0,224145,224287,HPB,1,1963-10-14 16:00:00,1963-10-17 15:00:00,1963,10,14,18,1963,10,17,18,9
16,32.815,3.47,35.5,23,12.5,6,0,237066,237136,HPB,1,1964-07-09 20:30:00,1964-07-11 07:30:00,1964,7,9,18,1964,7,11,6,8
17,32.57,4.66,24,2,22,0,0,254992,255039,HPB,1,1965-07-18 07:30:00,1965-07-19 07:00:00,1965,7,18,6,1965,7,19,6,10
18,44.43,3.12,103.5,0,0,6,0,276402,276608,HPB,1,1966-10-07 08:30:00,1966-10-11 15:30:00,1966,10,7,6,1966,10,11,18,10
19,24.945,2.86,39,31,8,0,0,294024,294101,HPB,1,1967-10-09 11:30:00,1967-10-11 02:00:00,1967,10,9,12,1967,10,11,0,12
20,23.355,2.91,32.5,0,8,0,0,294118,294182,HPB,1,1967-10-11 10:30:00,1967-10-12 18:30:00,1967,10,11,12,1967,10,12,18,12
21,26.655,3.64,60,0,13,6,0,311484,311603,HPB,1,1968-10-07 05:30:00,1968-10-09 17:00:00,1968,10,7,6,1968,10,9,18,12
22,24.445,2.02,56,0,0,0,0,327942,328053,HPB,1,1969-09-15 02:30:00,1969-09-17 10:00:00,1969,9,15,0,1969,9,17,12,12
23,31.255,2.66,37,18.5,23,0,0,328337,328410,HPB,1,1969-09-23 08:00:00,1969-09-24 20:30:00,1969,9,23,6,1969,9,24,18,2
24,23.17,3.62,37,0,0,12,0,341511,341584,HPB,1,1970-06-24 19:00:00,1970-06-26 07:30:00,1970,6,24,18,1970,6,26,6,2
25,68.205,6.65,37,0,0,6,0,341786,341859,HPB,1,1970-06-30 12:30:00,1970-07-02 01:00:00,1970,6,30,12,1970,7,2,0,8
26,64.195,4.6,83,0,0,0,0,361819,361984,HPB,1,1971-08-21 21:00:00,1971-08-25 07:30:00,1971,8,22,0,1971,8,25,6,9
27,30.6,2.66,51,0,0,0,0,383309,383410,HPB,1,1972-11-11 14:00:00,1972-11-13 16:30:00,1972,11,11,12,1972,11,13,18,9
28,25.745,2.3,92.5,0,0,18,0,399147,399331,HPB,1,1973-10-07 13:00:00,1973-10-11 09:00:00,1973,10,7,12,1973,10,11,12,9
29,26.42,1.53,56.5,0,0,0,0,414363,414475,HPB,1,1974-08-20 13:00:00,1974-08-22 21:00:00,1974,8,20,12,1974,8,23,0,2
30,42.055,4.65,18.5,0.5,18,18,0,414764,414800,HPB,1,1974-08-28 21:30:00,1974-08-29 15:30:00,1974,8,29,0,1974,8,29,18,2
31,46.795,1.99,89,0,0,66,0,429700,429877,HPB,1,1975-07-06 01:30:00,1975-07-09 18:00:00,1975,7,6,0,1975,7,9,18,2
32,27.825,1.67,58.5,0,0,54,0,448761,448877,HPB,1,1976-08-06 04:00:00,1976-08-08 14:00:00,1976,8,6,6,1976,8,8,12,9
33,51.355,3.76,50.5,21,22.5,24,0,468898,468998,HPB,1,1977-09-29 16:30:00,1977-10-01 18:30:00,1977,9,29,18,1977,10,1,18,2
34,43.585,2.25,59.5,0,0,48,0,481991,482109,HPB,1,1978-06-29 11:00:00,1978-07-01 22:00:00,1978,6,29,12,1978,7,2,0,8
35,26.155,2.59,42,0,0,18,0,499907,499990,HPB,1,1979-07-07 17:00:00,1979-07-09 10:30:00,1979,7,7,18,1979,7,9,12,8
36,64.975,4.25,52,0,0,12,0,500365,500468,HPB,1,1979-07-17 06:00:00,1979-07-19 09:30:00,1979,7,17,6,1979,7,19,12,8
37,38.505,4.12,38,0,0,6,0,519749,519824,HPB,1,1980-08-24 02:00:00,1980-08-25 15:30:00,1980,8,24,0,1980,8,25,18,8
38,66.275,4.64,74,0,5.5,30,0,520002,520149,HPB,1,1980-08-29 08:30:00,1980-09-01 10:00:00,1980,8,29,6,1980,9,1,12,11
39,27.175,2.36,67,0,0,24,0,537710,537843,HPB,1,1981-09-02 06:30:00,1981-09-05 01:00:00,1981,9,2,6,1981,9,5,0,2
40,27.035,3.85,26,18.5,7.5,6,0,552620,552671,HPB,1,1982-07-09 21:30:00,1982-07-10 23:00:00,1982,7,10,0,1982,7,11,0,2
41,34.92,3.3,87,0,0,24,0,569518,569691,HPB,1,1983-06-26 22:30:00,1983-06-30 13:00:00,1983,6,27,0,1983,6,30,12,8
